albums_id,Year,Ranking,Artist,Album,Worldwide Sales,CDs,Tracks,Genre,album_id,popularity
0,1990,1,Madonna,The Immaculate Collection,"30,000,000",1,17,Pop,5MzwGwnO9gkh0z6Nl4FF8h,61
1,1990,2,New_Kids_on_the_Block,Step By Step,"20,000,000",1,12,Pop,4dCdnfD0shXGuHtyTOtx8q,54
2,1990,3,Garth Brooks,No Fences,"18,770,000",1,10,Country,2l8LCtgshAUZlSZbLAzWr4,4
3,1991,1,Metallica,Metallica,"33,000,000",1,12,Rock,55fq75UfkYbGMq4CncCtOH,72
4,1991,2,Nirvana_(banda),Nevermind,"30,000,000",1,13,Rock,2guirTSEqLizK7j9i1MTTZ,77
5,1991,3,Michael Jackson,Dangerous,"27,000,000",1,14,Pop,6JlCkqkqobGirPsaleJpFr,85
6,1992,1,Whitney Houston,The Bodyguard Soundtrack,"45,000,000",1,13,Pop,7JVJlkNNobS0GSoy4tCS96,73
7,1992,2,ABBA,Gold - Greatest Hits,"32,000,000",1,17,Pop,02fXxBBnewKb71ZQ3Bu39I,50
8,1992,3,Eric Clapton,Unplugged,"26,000,000",1,14,Rock,5PdgIAHzwDvTZRjIGSQGtN,59
9,1993,1,Mariah Carey,Music Box,"30,000,000",1,10,Pop,5Mr8FpZP1DaLDxjbMD7GcR,65
10,1993,2,Ace_of_Base,Happy Nation / The Sign,"25,000,000",1,13,Pop,5UwIyIyFzkM7wKeGtRJPgB,70
11,1993,3,Aerosmith,Get A Grip,"20,000,000",1,14,Rock,180jTzor4W2MQ9HW5h5Fh4,69
12,1994,1,Hootie & The Blowfish,Cracked Rear View,"22,265,000",1,11,Rock,5AYmpTfdv1OoASUJ5rZB7K,65
13,1994,2,Green Day,Dookie,"20,000,000",1,14,Rock,4uG8q3GPuWHQlRbswMIRS6,78
14,1994,3,Bon Jovi,Cross Road,"18,500,000",1,14,Rock,0tBfLeYdX3oBnl5NVpot4m,67
15,1995,1,Alanis Morissette,Jagged Little Pill,"33,000,000",1,13,Rock,5Ap3F8CxjjsQKZGASDcHNA,70
16,1995,2,Mariah Carey,Daydream,"25,000,000",1,12,Pop,1ibYM4abQtSVQFQWvDSo4J,72
17,1995,3,Oasis_(banda),(What's The Story) Morning Glory?,"22,000,000",1,12,Rock,6tOe4eAF8xNhEkl9WyvsE4,73
18,1996,1,Celine Dion,Falling Into You,"32,000,000",1,14,Pop,2vk0n8aeQSO74VtQBbNDPR,71
19,1996,2,Spice Girls,Spice,"23,000,000",1,10,Pop,3x2jF7blR6bFHtk4MccsyJ,74
20,1996,3,Matchbox Twenty,Yourself Or Someone Like You,"15,000,000",1,12,Rock,4vUXTcKz7tXxrNl84meN6i,70
