canciones_id,Artist,Album,Tracks,album_id,Pistas
0,Madonna,The Immaculate Collection,17,5MzwGwnO9gkh0z6Nl4FF8h,"Holiday, Lucky Star - US ReMix Version, Borderline, Like a Virgin, Material Girl, Crazy for You - Edit, Into the Groove - Edit, Live to Tell, Papa Don't Preach, Open Your Heart, La Isla Bonita - Remix, Like a Prayer, Express Yourself, Cherish, Vogue, Justify My Love, Rescue Me"
1,New_Kids_on_the_Block,Step By Step,12,4dCdnfD0shXGuHtyTOtx8q,"Step by Step, Tonight, Baby, I Believe In You, Call It What You Want, Let's Try It Again, Happy Birthday, Games, Time Is On Our Side, Where Do I Go From Here, Stay With Me Baby, Funny Feeling, Never Gonna Fall In Love Again"
2,Garth Brooks,No Fences,10,2l8LCtgshAUZlSZbLAzWr4,"don't tell anyone, i hope i never have a daughter, kickstand, weight of the earth, 217, i just have a profound feeling that everything is ruined (chris travis), i feel unable to function in society, but i'm fine, go away forever, little alchemy 2, mousetrap, ants"
3,Metallica,Metallica,12,55fq75UfkYbGMq4CncCtOH,"Enter Sandman (Remastered), Sad But True (Remastered), Holier Than Thou (Remastered), The Unforgiven (Remastered), Wherever I May Roam (Remastered), Don't Tread on Me (Remastered), Through the Never (Remastered), Nothing Else Matters (Remastered), Of Wolf and Man (Remastered), The God That Failed (Remastered), My Friend of Misery (Remastered), The Struggle Within (Remastered)"
4,Nirvana_(banda),Nevermind,13,2guirTSEqLizK7j9i1MTTZ,"Smells Like Teen Spirit, In Bloom, Come As You Are, Breed, Lithium, Polly, Territorial Pissings, Drain You, Lounge Act, Stay Away, On A Plain, Something In The Way, Endless, Nameless"
5,Michael Jackson,Dangerous,14,6JlCkqkqobGirPsaleJpFr,"Sand In My Boots, Wasted On You, Somebody’s Problem, More Surprised Than Me, 865, Warning, Neon Eyes, Outlaw (feat. Ben Burgess), Whiskey’d My Way, Wonderin’ Bout The Wind, Your Bartender, Only Thing That’s Gone (feat. Chris Stapleton), Cover Me Up, 7 Summers, More Than My Hometown, Still Goin Down, Rednecks, Red Letters, Red Dirt, Dangerous, Beer Don’t, Blame It On Me"
6,Whitney Houston,The Bodyguard Soundtrack,13,7JVJlkNNobS0GSoy4tCS96,"I Will Always Love You, I Have Nothing, I'm Every Woman, Run to You, Queen of the Night - Radio Edit, Jesus Loves Me, Even If My Heart Would Break, Someday (I'm Coming Back), It's Gonna Be A Lovely Day, What's So Funny 'Bout Peace, Love And Understanding, Theme From The Bodyguard, Trust In Me (feat. Sass Jordan)"
7,ABBA,Gold - Greatest Hits,17,02fXxBBnewKb71ZQ3Bu39I,"Yesterday Once More, Superstar, Rainy Days And Mondays - 1991 Remix, Goodbye To Love, It's Going To Take Some Time, I Won't Last A Day Without You, For All We Know - From ""Lovers And Other Strangers"" Soundtrack, Jambalaya (On The Bayou), Touch Me When We're Dancing, Please Mr. Postman, I Need To Be In Love, Solitaire, We've Only Just Begun, (They Long To Be) Close To You - 1991 Remix, This Masquerade - 1990 Remix, Ticket To Ride, Top Of The World, Only Yesterday, Sing, Calling Occupants Of Interplanetary Craft (The Recognized Anthem Of World Contact Day)"
8,Eric Clapton,Unplugged,14,5PdgIAHzwDvTZRjIGSQGtN,"Nutshell - Live at the Majestic Theatre, Brooklyn, NY - April 1996, Brother - Live at the Majestic Theatre, Brooklyn, NY - April 1996, No Excuses - Live at the Majestic Theatre, Brooklyn, NY - April 1996, Sludge Factory - Live at the Majestic Theatre, Brooklyn, NY - April 1996, Down In A Hole - Live at the Majestic Theatre, Brooklyn, NY - April 1996, Angry Chair - Live at the Majestic Theatre, Brooklyn, NY - April 1996, Rooster - Live at the Majestic Theatre, Brooklyn, NY - April 1996, Got Me Wrong - Live at the Majestic Theatre, Brooklyn, NY - April 1996, Heaven Beside You - Live at the Majestic Theatre, Brooklyn, NY - April 1996, Would? - Live at the Majestic Theatre, Brooklyn, NY - April 1996, Frogs - Live at the Majestic Theatre, Brooklyn, NY - April 1996, Over Now - Live at the Majestic Theatre, Brooklyn, NY - April 1996, The Killer Is Me - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
9,Mariah Carey,Music Box,10,5Mr8FpZP1DaLDxjbMD7GcR,"Dreamlover, Hero, Anytime You Need a Friend, Music Box, Now That I Know, Never Forget You, Without You, Just to Hold You Once Again, I've Been Thinking About You, All I've Ever Wanted, Everything Fades Away"
10,Ace_of_Base,Happy Nation / The Sign,13,5UwIyIyFzkM7wKeGtRJPgB,"All That She Wants, Don't Turn Around, Young and Proud, The Sign, Living in Danger, Dancer in a Daydream, Wheel of Fortune, Waiting for Magic - Total Remix 7"" Version, Happy Nation, Voulez-Vous danser, My Mind - Mindless Mix, All That She Wants - Banghra Version, Mr Ace (Demo 1991) - Bonus Track"
11,Aerosmith,Get A Grip,14,180jTzor4W2MQ9HW5h5Fh4,"Intro, Eat The Rich, Get A Grip, Fever, Livin' On The Edge, Flesh, Walk On Down, Shut Up And Dance, Cryin', Gotta Love It, Crazy, Line Up, Amazing, Boogie Man"
12,Hootie & The Blowfish,Cracked Rear View,11,5AYmpTfdv1OoASUJ5rZB7K,"Hannah Jane, Hold My Hand, Let Her Cry, Only Wanna Be With You, Running From an Angel, I'm Goin' Home, Drowning, Time, Look Away, Not Even the Trees, Goodbye, Motherless Child"
13,Green Day,Dookie,14,4uG8q3GPuWHQlRbswMIRS6,"Burnout, Having a Blast, Chump, Longview, Welcome to Paradise, Pulling Teeth, Basket Case, She, Sassafras Roots, When I Come Around, Coming Clean, Emenius Sleepus, In the End, F.O.D., All by Myself"
14,Bon Jovi,Cross Road,14,0tBfLeYdX3oBnl5NVpot4m,"Livin' On A Prayer, Keep The Faith, Someday I'll Be Saturday Night, Always, Wanted Dead Or Alive, Lay Your Hands On Me, You Give Love A Bad Name, Bed Of Roses, Blaze Of Glory, Prayer 94, Bad Medicine, I'll Be There For You, In And Out Of Love, Runaway"
