Artist,Genre,Info
Madonna,Pop,"('Nacimiento 16 de agosto de 1958 (65 años)', 'Nacionalidad Estadounidense')"
New_Kids_on_the_Block,Pop,"(None, 'Origen Boston, Estados Unidos')"
Garth Brooks,Country,"('Nacimiento 7 de febrero de 1962 (61 años)', 'Nacionalidad Estadounidense')"
Metallica,Rock,"(None, 'Origen Los Ángeles, California,')"
Nirvana_(banda),Rock,"(None, 'Origen Aberdeen, Washington,')"
Michael Jackson,Pop,"('Nacimiento 29 de agosto de 1958', 'Nacionalidad Estadounidense')"
Whitney Houston,Pop,"('Nacimiento 9 de agosto de 1963', 'Nacionalidad Estadounidense')"
ABBA,Pop,"(None, 'Origen Estocolmo, Suecia')"
Eric Clapton,Rock,"('Nacimiento 30 de marzo de 1945 (78 años)', 'Nacionalidad Británico')"
Mariah Carey,Pop,"('Nacimiento 27 de marzo de 1969 (54 años)nota 1', 'Nacionalidad Estadounidense')"
Ace_of_Base,Pop,"(None, 'Origen Gotemburgo, Suecia')"
Aerosmith,Rock,"(None, 'Origen Boston, Estados Unidos')"
Hootie & The Blowfish,Rock,"(None, 'Origen Columbia, Carolina del Sur, Estados Unidos')"
Green Day,Rock,"(None, 'Origen Berkeley, California, Estados Unidos')"
Bon Jovi,Rock,"('Formación actual de Bon Jovi en Hyde Park (Londres), en 2013.', 'Origen Nueva Jersey (Estados Unidos)')"
Alanis Morissette,Rock,"('Nacimiento 1 de junio de 1974 (49 años)', 'Nacionalidad Canadiense y estadounidense (desde 2005)')"
Mariah Carey,Pop,"('Nacimiento 27 de marzo de 1969 (54 años)nota 1', 'Nacionalidad Estadounidense')"
Oasis_(banda),Rock,"(None, 'Origen Mánchester')"
Celine Dion,Pop,"('Nacimiento 30 de marzo de 1968 (55 años)', 'Nacionalidad Canadiense')"
Spice Girls,Pop,"(None, 'Origen Londres, Reino Unido')"
Matchbox Twenty,Rock,"(None, 'Origen Orlando, Florida')"
Shania Twain,Country,"('Nacimiento 28 de agosto de 1965 (58 años)', 'Nacionalidad Canadiense')"
Celine Dion,Pop,"('Nacimiento 30 de marzo de 1968 (55 años)', 'Nacionalidad Canadiense')"
Robert_Lopez,Classical,"('Nacimiento 23 de febrero de 1975 (48 años)', 'Nacionalidad Estadounidense')"
Cher,Pop,"('Nacimiento 20 de mayo de 1946 (77 años)', 'Nacionalidad Estadounidense')"
Lauryn Hill,R&B,"('Nacimiento 26 de mayo de 1975 (48 años)', 'Nacionalidad Estadounidense')"
Brandy_Norwood,R&B,"('Nacimiento 11 de febrero de 1979 (44 años)', 'Nacionalidad Estadounidense')"
Backstreet Boys,Pop,"(None, 'Origen Orlando, Florida, Estados Unidos')"
Britney Spears,Pop,"('Nacimiento 2 de diciembre de 1981 (41 años)', 'Nacionalidad Estadounidense')"
Santana_(banda),Rock,"(None, 'Origen San Francisco, California, Estados Unidos')"
Eminem,Hip Hop,"('Nacimiento 17 de octubre de 1972 (51 años)', 'Nacionalidad Estadounidense')"
The Beatles,Rock,"(None, 'Origen Liverpool, Inglaterra, Reino Unido')"
Linkin Park,Rock,"(None, 'Origen Agoura Hills, California, Estados Unidos')"
P!NK,Rock,"('Nacimiento 8 de septiembre de 1979 (44 años)', 'Nacionalidad Estadounidense')"
Shakira,Pop,"('Nacimiento 2 de febrero de 1977 (46 años)', 'Nacionalidad Colombiana')"
Alicia Keys,R&B,"('Nacimiento 25 de enero de 1981 (42 años)', 'Nacionalidad Estadounidense')"
Norah Jones,Pop,"('Nacimiento 30 de marzo de 1979 (44 años)', 'Nacionalidad Estadounidense')"
Eminem,Hip Hop,"('Nacimiento 17 de octubre de 1972 (51 años)', 'Nacionalidad Estadounidense')"
Avril Lavigne,Rock,"('Nacimiento 27 de septiembre de 1984 (39 años)', 'Nacionalidad Canadiense')"
Evanescence,Rock,"(None, 'Origen Little Rock, Arkansas')"
50 Cent,Hip Hop,"('Nacimiento 6 de julio de 1975 (48 años)', 'Nacionalidad Estadounidense')"
Linkin Park,Rock,"(None, 'Origen Agoura Hills, California, Estados Unidos')"
Usher,R&B,"('Nacimiento 14 de octubre de 1978 (45 años)', 'Nacionalidad Estadounidense')"
Green Day,Rock,"(None, 'Origen Berkeley, California, Estados Unidos')"
Guns N Roses,Rock,"(None, 'Origen Los Ángeles, California, Estados Unidos')"
Nickelback,Rock,"(None, 'Origen Hanna, Alberta,  Canadá')"
Eminem,Hip Hop,"('Nacimiento 17 de octubre de 1972 (51 años)', 'Nacionalidad Estadounidense')"
Coldplay,Rock,"(None, 'Origen Londres, Reino Unido')"
Amy Winehouse,R&B,"('Nacimiento 14 de septiembre de 1983', 'Nacionalidad Británica')"
Nelly Furtado,Pop,"('Nacimiento 2 de diciembre de 1978 (44 años)', 'Nacionalidad Canadiense')"
Justin Timberlake,Pop,"('Nacimiento 31 de enero de 1981 (42 años)', None)"
Rihanna,Pop,"('Nacimiento 20 de febrero de 1988 (35 años)', 'Nacionalidad Barbadense')"
Josh Groban,Pop,"('Nacimiento 27 de febrero de 1981 (42 años)', 'Nacionalidad Estadounidense')"
Leona Lewis,Pop,"('Nacimiento 3 de abril de 1985 (38 años)', 'Nacionalidad Británica')"
Lady Gaga,Pop,"('Nacimiento 28 de marzo de 1986 (37 años)', None)"
Taylor Swift,Country,"('Nacimiento 13 de diciembre de 1989 (33 años)', 'Nacionalidad Estadounidense')"
Coldplay,Rock,"(None, 'Origen Londres, Reino Unido')"
Susan Boyle,Pop,"('Nacimiento 1 de abril de 1961 (62 años)', 'Nacionalidad Británica')"
Lady Gaga,Pop,"('Nacimiento 28 de marzo de 1986 (37 años)', None)"
Mumford & Sons,Rock,"(None, 'Origen Londres, Inglaterra,  Reino Unido')"
Katy Perry,Pop,"('Nacimiento 25 de octubre de 1984 (39 años)', 'Nacionalidad Estadounidense')"
Bruno Mars,Pop,"('Nacimiento 8 de octubre de 1985 (38 años)', 'Nacionalidad Estadounidense')"
Eminem,Hip Hop,"('Nacimiento 17 de octubre de 1972 (51 años)', 'Nacionalidad Estadounidense')"
Adele,Pop,"('Nacimiento 5 de mayo de 1988 (35 años)', 'Nacionalidad Británica')"
Michael Buble,Pop,"('Nacimiento 9 de septiembre de 1975 (48 años)', 'Nacionalidad Canadiense e italiana (desde 2005)')"
Ed Sheeran,Pop,"('Nacimiento 17 de febrero de 1991 (32 años)', 'Nacionalidad Británica')"
Imagine Dragons,Rock,"(None, 'Origen Las Vegas, Nevada, Estados Unidos')"
Bruno Mars,Pop,"('Nacimiento 8 de octubre de 1985 (38 años)', 'Nacionalidad Estadounidense')"
Taylor Swift,Pop,"('Nacimiento 13 de diciembre de 1989 (33 años)', 'Nacionalidad Estadounidense')"
Robert_Lopez,Pop,"('Nacimiento 23 de febrero de 1975 (48 años)', 'Nacionalidad Estadounidense')"
Eminem,Hip Hop,"('Nacimiento 17 de octubre de 1972 (51 años)', 'Nacionalidad Estadounidense')"
One Direction,Pop,"(None, 'Origen Londres (Reino Unido)')"
Taylor Swift,Pop,"('Nacimiento 13 de diciembre de 1989 (33 años)', 'Nacionalidad Estadounidense')"
Ed Sheeran,Pop,"('Nacimiento 17 de febrero de 1991 (32 años)', 'Nacionalidad Británica')"
Sam Smith,Pop,"('Nacimiento 19 de mayo de 1992 (31 años)', None)"
